resume_text,category
sector 2 html next.js frontend fundamentals applications page tests experience technology jest react information strong integration rest api,Frontend Developer
warehouse data airflow engineer model 10GB/hour snowflake collaborated data python tables 40% sql with designed 5 built processing analysts costs data spark,Data Engineer
backend development api design node.js python django flask fastapi java spring boot kotlin postgresql mysql mongodb redis rest api graphql grpc authentication authorization jwt oauth2 message queue rabbitmq kafka caching performance optimization microservices distributed systems,Backend Developer
nist trust penetration siem web ids 10 security testing ips suite response intelligence firewall top hacking scanning forensics network burp ethical soc wireshark,Cybersecurity Analyst
cloud led solutions trust architect availability years infrastructure aws terraform saving certified cost architect services 5 cloud cloudformation annually professional solutions 8 cka architecture architecture optimization team multi-region iam as designed migration cloud mentored code security aws architect,Cloud Architect
aws open layer api development deployment implementation code startup 90% python golang years 3 design growing software github experience postgresql driven backend coverage contributor rest kubernetes redis documentation test caching docker,Software Engineer
experience hunting security+ network years vulnerability vpn bachelors ceh qradar 3 log threat soc patch tier management information,Cybersecurity Analyst
firewalls analyst soc vulnerability platforms threat network information years security management science siem splunk qradar hunting bachelors experience ceh,Cybersecurity Analyst
monitoring best practices pagerduty savings gitops aws engineering startup optimization ci/cd fintech containerization pipeline kubernetes cloud prometheus 4 experience bsc computer helm 30% cka argocd infrastructure years devops gcp,DevOps Engineer
pytorch f1 masters cleaning collaborated bachelors with ctr precision data pandas product processing auc transformation integration scientist keras increasing metrics built classification data tensorflow learning roc natural ml wrangling 3 evaluation on,Data Scientist
cloud terraform sql kubernetes architect bachelors networking balancing cdn gcp architect cloud data cloud engineer helm gcp engineering services charts experience certified professional infrastructure,Cloud Architect
great data elt quality lakehouse design warehouse redshift apache bigquery lake dagster vault dimensional testing orchestration spark scala data batch data star airflow flink etl data sql hadoop pipeline modeling databricks dbt kafka streaming,Data Engineer
kpi company variance excel management forecasting budgeting finance dashboards analyst root planning monthly experience quarterly strong annual cause bachelors accounting investigation saas analysis skills financial sql years reporting analysis fp&a 3,Finance Analyst
vision model networks learning probability exploratory methods tuning boosting time data hyperparameter forest r numpy neural pandas classification bi power hypothesis jupyter forecasting feature scikit-learn cross gradient data learning engineering machine deep series random tensorflow xgboost deployment statistics validation regression analysis testing tableau python matplotlib visualization notebook computer pytorch a/b nlp seaborn,Data Scientist
85% compliance law employees implemented payroll 200+ hired time 8 28 days 45 multi-jurisdiction engagement manager years acquisition to talent mba workday reduced 150 employees days labour employee survey marketing hire human,HR Manager
scikit-learn machine random networks classification regression pandas validation pytorch forecasting power tensorflow data jupyter learning hyperparameter methods probability gradient visualization hypothesis statistics deployment exploratory data nlp forest model python engineering analysis testing series matplotlib notebook learning xgboost a/b deep testing r ensemble time tableau numpy computer bi,Data Scientist
pipeline spring skills sprint architecture code database optimized boot algorithms planning retrospectives schema github strong microservices reducing requests computer actions years latency developers bsc 1M django agile ci/cd software handling 40% scrum 5 reviews built mentored python junior kubernetes implemented day per queries java science designed,Software Engineer
cloud devops engineer gcp kubernetes helm ci/cd pipeline github actions argocd gitops monitoring prometheus grafana pagerduty docker containerization best practices 4 years experience fintech startup infrastructure cost optimization 30% savings bsc computer engineering certifications aws cka,DevOps Engineer
solution aws continuity hybrid multi-cloud architecture disaster recovery design azure containers well-architected vpc pillars management strategy refactor cost security identity lift shift,Cloud Architect
5 years software engineer java spring boot python django built microservices architecture handling 1M requests per day designed database schema optimized queries reducing latency 40% implemented ci/cd pipeline github actions kubernetes mentored junior developers code reviews agile scrum sprint planning retrospectives bsc computer science strong algorithms skills,Software Engineer
experience data data data integration etl maintenance python bigquery data platform engineer kafka 3 quality bachelors spark streaming gcp years sql science alerting development computer monitoring pipeline,Data Engineer
numpy for scientist 22% data text increasing learning integration classification bachelors natural cleaning statistics tensorflow model years masters topic ctr teams data product f1 recall pandas 3 pytorch keras,Data Scientist
